"Kingdom","Phylum","Class","Order","Family","Genus","Species"
2,50,114,280,444,706,534
2,55,115,275,442,693,530
2,47,97,260,416,682,533
2,51,117,306,494,822,646
2,43,90,242,386,618,459
2,50,106,265,412,645,492
2,51,104,276,449,740,587
2,46,98,262,413,654,481
2,50,104,254,401,625,452
2,53,111,284,440,672,519
2,52,116,301,484,730,551
2,43,91,240,375,591,432
2,50,110,282,431,612,461
2,40,79,220,343,538,396
2,54,118,289,452,692,514
2,50,108,269,435,663,505
2,45,93,245,381,608,439
2,54,121,292,457,740,573
2,62,128,322,530,859,693
2,48,103,268,427,675,510
2,58,127,328,531,863,688
2,40,80,215,332,518,381
2,55,118,283,442,675,487
2,46,101,266,434,689,527
2,50,107,272,432,681,491
2,50,110,279,434,670,505
1,39,86,219,322,456,322
2,47,98,239,347,476,349
1,41,77,202,289,416,272
2,46,104,258,394,568,430
1,30,62,164,241,309,226
1,37,82,213,323,456,314
2,44,90,228,343,491,347
2,46,95,240,367,583,442
2,44,105,258,408,615,428
2,51,112,275,433,670,499
2,52,116,295,466,722,554
1,41,93,252,394,608,448
2,54,118,300,482,756,584
2,36,69,194,300,474,338
2,45,91,242,352,516,358
2,47,99,247,388,604,448
2,45,102,255,387,567,412
2,46,97,262,411,627,462
2,55,119,306,489,780,625
2,60,134,342,544,945,761
2,47,99,261,420,721,557
2,58,126,327,524,839,653
2,50,106,278,447,724,584
2,52,102,265,391,595,431
2,55,124,302,481,777,597
2,50,109,275,434,689,510
2,50,110,291,473,765,571
2,54,120,307,498,742,552
2,56,135,322,521,817,649
2,50,112,280,451,735,588
2,53,119,306,520,833,637
2,45,90,243,393,619,455
2,55,125,309,491,781,561
2,50,114,288,467,753,581
2,55,125,313,512,830,627
2,52,124,317,505,819,605
